registered,project,id
2006-11-09 15:02:00,mgmtsc-wu,7
2006-11-23 21:21:00,mar,14
2007-01-15 15:54:00,termstrc,16
2007-01-28 19:20:00,parc,17
2007-01-31 16:02:00,zoo,18
2007-01-31 16:08:00,art,19
2007-02-15 20:23:00,colorspace,20
2007-02-15 20:25:00,fxregime,21
2007-02-20 13:47:00,tsp,22
2007-04-06 17:54:00,heplots,24
2007-04-17 16:45:00,drc,26
2007-04-17 22:46:00,ffi,27
2007-04-20 16:46:00,brew,28
2007-04-21 18:04:00,biclust,29
2007-04-30 23:06:00,timp,31
2007-05-02 14:11:00,erm,33
2007-05-04 11:07:00,site,34
2007-05-19 17:43:00,jmultir,35
2007-05-21 15:55:00,arules,36
2007-06-01 17:07:00,nraia,38
2007-06-08 18:40:00,ctv,39
2007-06-08 18:41:00,fortunes,40
2007-06-11 11:58:00,scatterplot3d,41
2007-06-11 12:04:00,klar,42
2007-06-11 12:08:00,tuner,43
2007-06-15 21:53:00,timpgui,44
2007-06-19 16:46:00,surveillance,45
2007-06-23 07:12:00,pbsmodelling,46
2007-06-24 11:36:00,electricity,47
2007-07-07 17:13:00,mboost,48
2007-07-08 22:21:00,pda,49
2007-08-05 20:10:00,ori,51
2007-08-07 21:13:00,qtldesign,52
2007-08-08 13:42:00,kritterbox,53
2007-08-10 14:33:00,lshorth,54
2007-08-11 05:38:00,twrap,55
2007-08-12 14:32:00,lifetables,56
2007-08-13 19:31:00,loopanalyst,57
2007-08-16 19:14:00,ipsur,58
2007-08-17 17:17:00,robustbase,59
2007-08-17 19:27:00,lme4,60
2007-08-17 19:30:00,matrix,61
2007-08-22 22:08:00,epitools,62
2007-08-23 17:29:00,urca,63
2007-08-23 17:35:00,vars,64
2007-08-28 00:03:00,sparsem,65
2007-09-01 15:52:00,lognorm,67
2007-09-05 15:59:00,vegan,68
2007-09-07 15:38:00,analogue,69
2007-09-07 16:37:00,mcplr,70
2007-09-07 19:22:00,dierckxspline,71
2007-09-08 14:31:00,lifeinsgrsim,72
2007-09-14 16:22:00,rwinedt,73
2007-09-21 16:29:00,pot,76
2007-10-04 23:01:00,applong,77
2007-10-10 01:28:00,psychor,80
2007-10-15 16:31:00,desire,82
2007-10-15 17:55:00,reliability,83
2007-10-19 03:10:00,fints,84
2007-10-22 10:05:00,rhmm,85
2007-11-02 16:28:00,robust,86
2007-11-06 20:55:00,distr,87
2007-11-06 21:07:00,robkalman,88
2007-11-06 21:18:00,robust-ts,89
2007-11-06 23:41:00,circular,90
2007-11-09 16:30:00,chemometrics,91
2007-11-20 21:30:00,radr,92
2007-11-25 10:45:00,biocep,93
2007-11-26 11:11:00,star,94
2007-11-26 13:09:00,rgg,95
2007-11-27 10:48:00,rglp,96
2007-11-28 09:26:00,psm,97
2007-11-29 19:01:00,dtw,98
2007-11-29 21:50:00,bertin,99
2007-12-03 02:31:00,graphicsqc,100
2007-12-03 16:58:00,isogene,101
2007-12-03 17:28:00,mpdir,102
2007-12-04 18:10:00,orbit,103
2007-12-05 07:24:00,phyloc,104
2007-12-06 14:12:00,mstree,105
2007-12-06 14:22:00,covertree,106
2007-12-06 18:43:00,expm,107
2007-12-08 00:51:00,lmdvr,108
2007-12-13 13:59:00,epi,110
2007-12-14 20:17:00,phylobase,111
2007-12-16 21:33:00,sisus,112
2007-12-17 16:44:00,rsymphony,113
2007-12-18 17:28:00,paleots,114
2008-01-01 19:41:00,rquantlib,117
2008-01-03 19:11:00,xts,118
2008-01-05 15:36:00,ttr,119
2008-01-06 18:38:00,adegenet,120
2008-01-08 00:03:00,mefa,121
2008-01-08 17:50:00,splinesurv,122
2008-01-09 18:16:00,prob,124
2008-01-10 20:53:00,quantmod,125
2008-01-14 22:52:00,rbooks,131
2008-01-15 06:11:00,robast,132
2008-01-15 16:18:00,tnet,133
2008-01-16 23:15:00,picante,134
2008-01-18 04:15:00,fda,135
2008-01-23 15:55:00,vwgh,136
2008-01-24 05:49:00,rqda,137
2008-01-29 15:46:00,mpm,138
2008-01-31 16:29:00,caic,140
2008-02-01 23:32:00,seriation,141
2008-02-03 18:52:00,libra,142
2008-02-06 17:41:00,sintro,143
2008-02-08 11:47:00,lpsolve,144
2008-02-20 21:34:00,simecol,146
2008-02-23 15:30:00,cfmdfi,147
2008-02-27 12:12:00,depmix,148
2008-02-28 16:45:00,qualv,149
2008-02-29 18:36:00,uscensus2000,150
2008-03-01 03:02:00,stdt,153
2008-03-01 17:25:00,digest,154
2008-03-01 17:33:00,rcpp,155
2008-03-01 17:55:00,rmetrics,156
2008-03-03 18:53:00,rcsdp,158
2008-03-10 23:00:00,pedigreemm,159
2008-03-12 16:41:00,photonics,160
2008-03-13 16:00:00,ameli,161
2008-03-14 15:49:00,rino,162
2008-03-19 12:10:00,biocep-distrib,163
2008-03-21 17:00:00,survweb,164
2008-03-25 09:10:00,asdar,165
2008-03-26 12:14:00,happy,166
2008-03-26 20:38:00,desolve,167
2008-04-03 15:55:00,statet,168
2008-04-03 22:00:00,mlp,169
2008-04-03 23:30:00,mvtnorm,170
2008-04-03 23:32:00,multcomp,171
2008-04-08 16:26:00,hkey,173
2008-04-09 16:27:00,limsolve,174
2008-04-10 01:40:00,arm,175
2008-04-13 01:47:00,bbmle,176
2008-04-15 08:56:00,bce,177
